86,"Disc Title","3:10 to Yuma",031398221883,"DVD",2007,tt0381849,122,"James Mangold","Russell Crowe,Christian Bale,Logan Lerman,Dallas Roberts,Ben Foster,Peter Fonda,Vinessa Shaw,Alan Tudyk,Luce Rains,Gretchen Mol,James Mangold,Halsted Welles,Michael Brandt",
1133,"Disc Title","42 - The Jackie Robinson Story",883929333554,"DVD",2013,tt0453562,128,"Brian Helgeland","Chadwick Boseman,Harrison Ford,Nicole Beharie,Christopher Meloni,Ryan Merriman,Lucas Black,Andre Holland,Alan Tudyk,Hamish Linklater,T.R. Knight,Brian Helgeland,Brian Helgeland",
1225,"Disc Title","47 Ronin",025192107702,"DVD",2013,tt1335975,119,"Carl Rinsch","Keanu Reeves,Hiroyuki Sanada,Ko Shibasaki,Tadanobu Asano,Min Tanaka,Jin Akanishi,Masayoshi Haneda,Hiroshi Sogabe,Takato Yonemoto,Hiroshi Yamada,Carl Rinsch,Chris Morgan,Hossein Amini,Chris Morgan,Walter Hamada",
358,"Disc Title","9",0025195054577,"DVD",2009,tt0472033,0,"Shane Acker","Christopher Plummer,Martin Landau,John C. Reilly,Crispin Glover,Jennifer Connelly,Fred Tatasciore,Elijah Wood,Alan Oppenheimer,Tom Kane,Helen Wilson,Shane Acker",
388,"Disc Title","9 to 5",024543013730,"DVD",1980,tt0080319,110,"Colin Higgins","Jane Fonda,Lily Tomlin,Dolly Parton,Dabney Coleman,Sterling Hayden,Elizabeth Wilson,Henry Jones,Lawrence Pressman,Marian Mercer,Renn Woods,Colin Higgins,Patricia Resnick,Colin Higgins",
940,"Disc Title","A Bug's Life",717951001818,"DVD",1998,tt0120623,96,"John Lasseter","Dave Foley,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere,Phyllis Diller,Richard Kind,David Hyde Pierce,Joe Ranft,Denis Leary,Jonathan Harris,John Lasseter,Andrew Stanton,John Lasseter,Andrew Stanton,Joe Ranft,Darla K. Anderson,Kevin Reher,Sharon Calahan,Lee Unkrich,Randy Newman,Tia W. Kratter,Bob Pauley",
687,"Disc Title","A Christmas Carol",786936805048,"DVD",2009,tt1067106,96,"Robert Zemeckis","Jim Carrey,Steve Valentine,Daryl Sabara,Sage Ryan,Amber Gainey Meade,Ryan Ochoa,Bobbi Page,Ron Bottitta,Sammi Hanratty,Julian Holloway,Robert Zemeckis,Charles Dickens,Robert Zemeckis",
924,"Disc Title","A Christmas Carol",089859820120,"DVD",1951,tt0044008,86,"Brian Desmond Hurst","Rona Anderson,Carol Marsh,Vi Kaley,Alastair Sim,Kathleen Harrison,Mervyn Johns,Hermione Baddeley,Michael Hordern,George Cole,John Charlesworth,Brian Desmond Hurst",
943,"Disc Title","A Christmas Carol",024543027201,"DVD",1984,tt0087056,100,"Clive Donner","George C. Scott,Frank Finlay,Angela Pleasence,Edward Woodward,Michael Carter,David Warner,Susannah York,Anthony Walters,Orlando Wells,Nancy Dodds,Clive Donner",
1255,"Disc Title","A Christmas Carol",053939816129,"DVD",1999,tt0216621,95,"David Hugh Jones","Patrick Stewart,Richard E. Grant,Joel Grey,Ian McNeice,Saskia Reeves,Desmond Barrit,Bernard Lloyd,Dominic West,Trevor Peacock,Liz Smith,David Hugh Jones",
689,"Disc Title","A Christmas Story",012569796287,"DVD",1983,tt0085334,98,"Bob Clark","Melinda Dillon,Darren McGavin,Peter Billingsley,Ian Petrella,Scott Schwartz,R.D. Robb,Tedde Moore,Yano Anaya,Zack Ward,Jeff Gillen,Bob Clark",
1078,"Disc Title","A Christmas Story 2",794043164231,"DVD",2012,tt2281069,85,"Brian Levant","Daniel Stern,Braeden Lemasters,Stacey Travis,Valin Shinyei,Gerard Plunkett,David Buehrle,David W. Thompson,Tiera Skovbye,Shawn MacDonald,Garry Chalk,Brian Levant,Nat Mauldin,Jean Shepherd",
94,"Disc Title","A Knight's Tale",043396061439,"DVD",2001,tt0183790,132,"Brian Helgeland","Heath Ledger,Rufus Sewell,Shannyn Sossamon,Paul Bettany,Laura Fraser,Mark Addy,Alan Tudyk,Bérénice Bejo,Scott Handy,James Purefoy,Brian Helgeland,Brian Helgeland",
1249,"Disc Title","A Man for All Seasons",043396180857,"DVD",1966,tt0060665,120,"Fred Zinnemann","Robert Shaw,Paul Scofield,Wendy Hiller,Leo McKern,Orson Welles,Susannah York,Nigel Davenport,John Hurt,Corin Redgrave,Colin Blakely,Fred Zinnemann",
649,"Disc Title","A Prairie Home Companion",794043105418,"DVD",2006,tt0420087,105,"Robert Altman","Marylouise Burke,Woody Harrelson,L.Q. Jones,Tommy Lee Jones,Garrison Keillor,Kevin Kline,Lindsay Lohan,Virginia Madsen,John C. Reilly,Maya Rudolph,Robert Altman,Garrison Keillor,Garrison Keillor,Ken LaZebnik,Garrison Keillor",
899,"Disc Title","A Walk to Remember",085391163299,"DVD",2002,tt0281358,102,"Adam Shankman","Shane West,Mandy Moore,Peter Coyote,Daryl Hannah,Lauren German,Clayne Crawford,Al Thompson,Paz de la Huerta,Jonathan Parks Jordan,Matt Lutz,Adam Shankman",
